State Abbreviation,Larceny-theft,Property crime,State,City,Burglary,Population 2000,Aggravated assault,Murder and non-negligent manslaughter,Arson,Forcible rape,Violent crime,Motor vehicle theft,County,latitude,longitude
TX,59.0,83.0,TX,Progreso,21.0,4851.0,12.0,0.0,0,0.0,14.0,3.0,Hidalgo County,26.0922946929932,-97.9572219848633
TX,33.0,49.0,TX,Laguna Vista,14.0,1658.0,2.0,0.0,6,0.0,2.0,2.0,Cameron County,26.1008415222168,-97.2935256958008
TX,887.0,1098.0,TX,Alamo,113.0,14760.0,50.0,0.0,6,0.0,67.0,98.0,Hidalgo County,26.1836833953857,-98.1230621337891
TX,1204.0,1602.0,TX,San Juan,276.0,26229.0,89.0,1.0,0,0.0,104.0,122.0,Hidalgo County,26.1892433166504,-98.1552886962891
TX,66.0,98.0,TX,Primera,28.0,2723.0,1.0,0.0,0,0.0,1.0,4.0,Cameron County,26.2259120941162,-97.758056640625
TX,39.0,63.0,TX,La Joya,23.0,3303.0,4.0,0.0,0,0.0,5.0,1.0,Hidalgo County,26.2470188140869,-98.4814071655273
TX,42.0,64.0,TX,Santa Rosa,19.0,2833.0,13.0,0.0,3,0.0,15.0,3.0,Cameron County,26.2567405700684,-97.8249969482422
TX,229.0,355.0,TX,Alton,84.0,4384.0,4.0,0.0,0,0.0,7.0,42.0,Hidalgo County,26.2872886657715,-98.313346862793
TX,327.0,477.0,TX,Elsa,108.0,5549.0,93.0,0.0,0,0.0,100.0,42.0,Hidalgo County,26.2934093475342,-97.9930648803711
TX,52.0,106.0,TX,Edcouch,43.0,3342.0,7.0,0.0,3,0.0,11.0,11.0,Hidalgo County,26.2939586639404,-97.960563659668
TX,199.0,214.0,TX,Bishop,14.0,3305.0,7.0,0.0,0,0.0,7.0,1.0,Nueces County,27.5861415863037,-97.7991638183594
TX,91.0,92.0,TX,Driscoll,1.0,825.0,1.0,0.0,0,0.0,1.0,0.0,Nueces County,27.6744766235352,-97.7486038208008
TX,230.0,289.0,TX,Port Aransas,43.0,3370.0,21.0,0.0,1,0.0,25.0,16.0,Nueces County,27.8339157104492,-97.0610961914062
TX,43.0,56.0,TX,Freer,12.0,3241.0,7.0,0.0,0,0.0,7.0,1.0,Duval County,27.8827953338623,-98.617790222168
TX,220.0,232.0,TX,Gregory,11.0,2318.0,1.0,0.0,5,0.0,1.0,1.0,San Patricio County,27.9222393035889,-97.2899856567383
TX,2.0,17.0,TX,Orange Grove,13.0,1288.0,5.0,0.0,0,0.0,6.0,2.0,Jim Wells County,27.9566860198975,-97.9369430541992
TX,127.0,148.0,TX,Taft,20.0,3396.0,0.0,0.0,0,0.0,0.0,1.0,San Patricio County,27.9789047241211,-97.3985977172852
TX,120.0,169.0,TX,Mathis,47.0,5034.0,9.0,0.0,3,0.0,10.0,2.0,San Patricio County,28.0944595336914,-97.8280563354492
TX,26.0,43.0,TX,Refugio,15.0,2941.0,1.0,0.0,0,0.0,1.0,2.0,Refugio County,28.3052845001221,-97.2752685546875
TX,292.0,454.0,TX,Beeville,154.0,13129.0,33.0,0.0,2,0.0,35.0,8.0,Bee County,28.4008369445801,-97.7483367919922
TX,8.0,16.0,TX,Seadrift,7.0,1352.0,2.0,0.0,0,0.0,2.0,1.0,Calhoun County,28.4152812957764,-96.7135925292969
TX,38.0,57.0,TX,Three Rivers,17.0,1878.0,2.0,1.0,0,0.0,3.0,2.0,Live Oak County,28.4602699279785,-98.182502746582
TX,40.0,80.0,TX,Dilley,34.0,3674.0,16.0,0.0,1,0.0,17.0,6.0,Frio County,28.6674766540527,-99.1705932617188
TX,143.0,200.0,TX,Crystal City,52.0,7190.0,4.0,0.0,2,0.0,6.0,5.0,Zavala County,28.6774768829346,-99.8281173706055
TX,867.0,1064.0,TX,Eagle Pass,151.0,22413.0,85.0,2.0,0,0.0,102.0,46.0,Maverick County,28.7091445922852,-100.499519348145
TX,0.0,2.0,TX,Point Comfort,2.0,781.0,1.0,0.0,0,0.0,1.0,0.0,Calhoun County,28.6797122955322,-96.5602493286133
TX,71.0,127.0,TX,Palacios,51.0,5153.0,33.0,0.0,0,0.0,35.0,5.0,Matagorda County,28.7080497741699,-96.2174606323242
TX,30.0,61.0,TX,Kenedy,31.0,3487.0,4.0,0.0,0,0.0,4.0,0.0,Karnes County,28.8191471099854,-97.8486099243164
TX,164.0,258.0,TX,Pearsall,88.0,7157.0,29.0,2.0,0,0.0,32.0,6.0,Frio County,28.8921890258789,-99.0950317382812
TX,22.0,49.0,TX,Jourdanton,24.0,3732.0,7.0,0.0,0,0.0,7.0,3.0,Atascosa County,28.9180316925049,-98.5464096069336
TX,12.0,31.0,TX,Surfside Beach,15.0,763.0,0.0,0.0,0,0.0,0.0,4.0,Brazoria County,28.9448947906494,-95.2896575927734
TX,9.0,12.0,TX,Jones Creek,2.0,2130.0,1.0,0.0,0,0.0,1.0,1.0,Brazoria County,28.968578338623,-95.4552230834961
TX,11.0,15.0,TX,Ganado,4.0,1915.0,0.0,0.0,0,0.0,0.0,0.0,Jackson County,29.0405387878418,-96.5135803222656
TX,28.0,58.0,TX,Oyster Creek,26.0,1192.0,16.0,0.0,0,0.0,16.0,4.0,Brazoria County,29.0030269622803,-95.3318862915039
TX,67.0,82.0,TX,Richwood,12.0,3012.0,2.0,1.0,0,0.0,3.0,3.0,Brazoria County,29.0560760498047,-95.4099426269531
TX,27.0,36.0,TX,Somerset,6.0,1550.0,1.0,0.0,0,0.0,1.0,3.0,Bexar County,29.2263488769531,-98.6577987670898
TX,78.0,99.0,TX,Lytle,17.0,2383.0,1.0,0.0,3,0.0,3.0,4.0,Atascosa County,29.2332992553711,-98.7964172363281
TX,17.0,29.0,TX,Jamaica Beach,11.0,1075.0,2.0,0.0,0,0.0,2.0,1.0,Galveston County,29.1896800994873,-94.9796371459961
TX,43.0,51.0,TX,Sabinal,8.0,1586.0,7.0,0.0,0,0.0,7.0,0.0,Uvalde County,29.317455291748,-99.466438293457
TX,112.0,163.0,TX,Yoakum,41.0,5731.0,2.0,0.0,0,0.0,2.0,10.0,DeWitt County,29.2877464294434,-97.1519393920898
TX,91.0,123.0,TX,Meadows Place,21.0,-99999.0,0.0,0.0,2,0.0,3.0,11.0,Fort Bend County,29.6513423919678,-95.588005065918
TX,12.0,18.0,TX,Weimar,5.0,1981.0,1.0,0.0,0,0.0,1.0,1.0,Colorado County,29.7030124664307,-96.7805328369141
TX,66.0,78.0,TX,Bulverde,11.0,3761.0,4.0,0.0,0,0.0,4.0,1.0,Comal County,29.7438316345215,-98.4530792236328
TX,12.0,13.0,TX,Southside Place,0.0,1546.0,0.0,0.0,0,0.0,3.0,1.0,Harris County,29.7060604095459,-95.4368896484375
TX,204.0,275.0,TX,West University Pla,65.0,14211.0,0.0,0.0,0,0.0,5.0,6.0,Harris County,29.7180080413818,-95.4338302612305
